no. vuelo,charter,fecha,origen,destino,precio adulto,precio niño,precio infante,peso incluido,precio maleta,precio caja
WQ902,CHOICE AIRE,11/25/15 20:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,58 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/27/15 17:30,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,59 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/30/15 11:30,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,60 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/2/2015 16:30:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,61 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/2/2015 20:00:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,62 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/4/2015 17:30:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,63 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/9/2015 16:30:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,64 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/9/2015 20:00:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,65 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/11/2015 17:30:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,66 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/16/15 09:15,MIAMI (MIA),HAVANA (HAV),$439.00,$439.00,125,67 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/16/15 20:00,HAVANA (HAV),MIAMI (MIA),$439.00,$439.00,125,68 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/21/15 16:30,HAVANA (HAV),MIAMI (MIA),$439.00,$439.00,125,69 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/23/15 09:15,MIAMI (MIA),HAVANA (HAV),$439.00,$439.00,125,70 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/23/15 20:00,HAVANA (HAV),MIAMI (MIA),$439.00,$439.00,125,71 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/28/15 16:30,HAVANA (HAV),MIAMI (MIA),$439.00,$439.00,125,72 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/30/15 09:15,MIAMI (MIA),HAVANA (HAV),$439.00,$439.00,125,73 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,12/30/15 20:00,HAVANA (HAV),MIAMI (MIA),$439.00,$439.00,125,74 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,1/1/2016 17:30:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,75 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,1/4/2016 16:30:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,76 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,1/6/2016 14:00:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,77 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,1/8/2016 17:30:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,78 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,1/11/2016 16:30:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,79 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,01/13/16 14:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,80 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,01/15/16 17:30,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,81 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,01/18/16 16:30,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,82 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,01/20/16 14:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,83 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,01/22/16 17:30,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,84 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,01/25/16 16:30,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,85 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,01/27/16 14:00,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,86 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,01/29/16 17:30,HAVANA (HAV),MIAMI (MIA),$389.00,$389.00,125,87 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
,,,,,,,,,,
WQ505,CHOICE AIRE,11/1/2015 15:45:00,MIAMI (MIA),HAVANA (HAV),$339.00,$339.00,125,90 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,11/8/2015 15:45:00,MIAMI (MIA),HAVANA (HAV),$339.00,$339.00,125,91 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,11/15/15 15:45,MIAMI (MIA),HAVANA (HAV),$339.00,$339.00,125,92 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,11/22/15 15:45,MIAMI (MIA),HAVANA (HAV),$339.00,$339.00,125,93 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,11/29/15 15:45,MIAMI (MIA),HAVANA (HAV),$339.00,$339.00,125,94 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,12/6/2015 15:45:00,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,95 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,12/13/15 15:45,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,96 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,12/20/15 15:45,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,97 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,12/27/15 15:45,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,98 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,1/3/2016 15:45:00,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,99 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,1/10/2016 15:45:00,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,100 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,01/17/16 15:45,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,101 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ505,CHOICE AIRE,01/24/16 15:45,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,102 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
